Type;Question;Answer
drug;is erythromycin ophthalmic ointment good for inflamed eyelids?;For the treatment of superficial ocular infections involving the conjunctiva and/or cornea caused by organisms susceptible to erythromycin.
drug;how should i dilute ceftriaxone injection?;"Ceftriaxone has been shown to be compatible with Flagyl®*IV (metronidazole hydrochloride). The concentration should not exceed 5 to 7.5 mg/mL metronidazole hydrochloride with ceftriaxone 10 mg/mL as an admixture. The admixture is stable for 24 hours at room temperature only in 0.9% sodium chloride injection or 5% dextrose in water (D5W). No compatibility studies have been conducted with the Flagyl®*IV RTU® or using other diluents. Metronidazole at concentrations greater than 8 mg/mL will precipitate. Do not refrigerate the admixture as precipitation will occur.

Vancomycin and fluconazole are physically incompatible with ceftriaxone in admixtures. When either of these drugs is to be administered concomitantly with ceftriaxone by intermittent intravenous infusion, it is recommended that they be given sequentially, with thorough flushing of the intravenous lines (with one of the compatible fluids) between the administrations.

Do not use diluents containing calcium, such as Ringer’s solution or Hartmann’s solution, to reconstitute ceftriaxone for injection. Particulate formation can result.

Ceftriaxone solutions should not be physically mixed with or piggybacked into solutions containing other antimicrobial drugs or into diluent solutions other than those listed above, due to possible incompatibility (see WARNINGS)."
drug;symptoms from taking multiple doses of lasix 40 mg per dayproblems with taking lasix 40mg twice daily ?;"Furosemide is a strong diuretic ('water pill') and may cause dehydration and electrolyte imbalance. It is important that you take it exactly as told by your doctor. If you experience any of the following symptoms, call your doctor immediately: decreased urination; dry mouth; thirst; nausea; vomiting; weakness; drowsiness; confusion; muscle pain or cramps; or rapid or pounding heartbeats."
drug;how long for allergic reaction after using nivolumab;n patients receiving OPDIVO as a single agent, immune-mediated pneumonitis occurred in 3.1% (61/1994) of patients. The median time to onset of immune-mediated pneumonitis was 3.5 months (range: 1 day to 22.3 months). Immune-mediated pneumonitis led to permanent discontinuation of OPDIVO in 1.1%, and withholding of OPDIVO in 1.3% of patients. Approximately 89% of patients with pneumonitis received high-dose corticosteroids (at least 40 mg prednisone equivalents per day) for a median duration of 26 days (range: 1 day to 6 months). Complete resolution of symptoms following corticosteroid taper occurred in 67% of patients. Approximately 8% of patients had recurrence of pneumonitis after re-initiation of OPDIVO.
drug;where does fluorouracil come from;"Fluorouracil is a nucleoside metabolic inhibitor that interferes with the synthesis of deoxyribonucleic acid (DNA) and to a lesser extent inhibits the formation of ribonucleic acid (RNA); these affect rapidly growing cells and may lead to cell death."
drug;where does fluorouracil come from;dailymed list of manufacturers
drug;chlorpheniramine how long in system;Chlorpheniramine has a serum half-life of approximately 20 hours in adults, and elimination from the body is primarily by metabolism to monodesmethyl and didesmethyl compounds. The half-life is increased in the presence of renal dysfunction and decreased in children. The exact mechanism of the presystemic first-pass elimination and the effects of dose levels on the process presently are unclear. Biopharmaceutical and pharmacokinetic studies after single or multiple doses in humans reveal wide interindividual variations in pharmacokinetics. Age, dialysis, urinary pH and flow influence the elimination kinetics of chlorpheniramine.
drug;how long will 6 mgs of suboxone block opiates;"Comparisons of buprenorphine with full agonists such as methadone and hydromorphone suggest that sublingual buprenorphine produces typical opioid agonist effects which are limited by a ceiling effect.

In non-dependent subjects, acute sublingual doses of SUBOXONE tablets produced opioid agonist effects, which reached a maximum between doses of 8 mg and 16mg of SUBUTEX. The effects of 16mg SUBOXONE were similar to those produced by 16mg SUBUTEX (buprenorphine alone).

Opioid agonist ceiling effects were also observed in a double-blind, parallel group, dose ranging comparison of single doses of buprenorphine sublingual solution (1, 2, 4, 8, 16, or 32 mg), placebo, and a full agonist control at various doses. The treatments were given in ascending dose order at intervals of at least one week to 16 opioid-experienced, non-dependent subjects. Both drugs produced typical opioid agonist effects. For all the measures for which the drugs produced an effect, buprenorphine produced a dose-related response but, in each case, there was a dose that produced no further effect. In contrast, the highest dose of the full agonist control always produced the greatest effects. Agonist objective rating scores remained elevated for the higher doses of buprenorphine (8-32 mg) longer than for the lower doses and did not return to baseline until 48 hours after drug administrations. The onset of effects appeared more rapidly with buprenorphine than with the full agonist control, with most doses nearing peak effect after 100 minutes for buprenorphine compared to 150 minutes for the full agonist control."
drug;what is marijuana?;"Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant. It can be rolled up and smoked like a cigarette or cigar or smoked in a pipe. Sometimes people mix it in food or inhale it using a vaporizer.

Marijuana can cause problems with memory, learning, and behavior. Smoking it can cause some of the same coughing and breathing problems as smoking cigarettes. Some people get addicted to marijuana after using it for a while. It is more likely to happen if they use marijuana every day, or started using it when they were teenagers.

Some states have approved ""medical marijuana"" to ease symptoms of various health problems. The U.S. Food and Drug Administration (FDA) has not approved the marijuana plant as a medicine. However, there have been scientific studies of cannabinoids, the chemicals in marijuana. This has led to two FDA-approved medicines. They contain THC, the active ingredient in marijuana. They treat nausea caused by chemotherapy and increase appetite in patients who have severe weight loss from HIV/AIDS. Scientists are doing more research with marijuana and its ingredients to treat many diseases and conditions."
drug;how is marijuana used;Marijuana is best known as a drug that people smoke or eat to get high. It is derived from the plant Cannabis sativa. Possession of marijuana is illegal under federal law. Medical marijuana refers to using marijuana to treat certain medical conditions. In the United States, about half of the states have legalized marijuana for medical use.
drug;how is tocilizumab administered;"Tocilizumab injection comes as a solution (liquid) to be injected intravenously (into a vein) in your arm by a doctor or nurse in a medical office or hospital outpatient clinic or as a prefilled syringe to inject subcutaneously (under the skin) by yourself at home. When tocilizumab is given intravenously to treat rheumatoid arthritis or polyarticular juvenile idiopathic arthritis, it is usually given once every 4 weeks. When tocilizumab is given intravenously to treat systemic juvenile idiopathic arthritis, it is usually given once every 2 weeks. When tocilizumab is given intravenously to treat cytokine release syndrome, it is usually given once, but up to 3 additional doses may be given at least 8 hours apart. It will take about 1 hour for you to receive your dose of tocilizumab injection intravenously. When tocilizumab is given subcutaneously to treat rheumatoid arthritis or giant cell arteritis, it is usually given once weekly or once every other week.

You will receive your first subcutaneous dose of tocilizumab injection in your doctor's office. If you will be injecting tocilizumab injection subcutaneously by yourself at home or having a friend or relative inject the medication for you, your doctor will show you or the person who will be injecting the medication how to inject it. You and the person who will be injecting the medication should also read the written instructions for use that come with the medication.

Thirty minutes before you are ready to inject tocilizumab injection, you will need to remove the medication from the refrigerator, take it out of its carton, and allow it to reach room temperature. When removing a prefilled syringe from the box, be careful not to touch the trigger fingers on the syringe. Do not try to warm the medication by heating it in a microwave, placing it in warm water, or through any other method.

Do not remove the cap from the prefilled syringe while the medication is warming. You should remove the cap no more than 5 minutes before you inject the medication. Do not replace the cap after you remove it. Do not use the syringe if you drop it on the floor.

Check the prefilled syringe to be sure that the expiration date printed on the package has not passed, Holding the syringe with the covered needle pointing down, look closely at the liquid in the syringe. The liquid should be clear or pale yellow and should not be cloudy or discolored or contain lumps or particles. Call your pharmacist if there are any problems with the package or the syringe and do not inject the medication.

You may inject tocilizumab injection on the front of the thighs or anywhere on your stomach except your navel (belly button) and the area 2 inches around it. If another person is injecting your medication, the outer area of the upper arms also may be used. Do not inject the medication into skin that is tender, bruised, red, hard, or not intact, or that has scars, moles, or bruises. Choose a different spot each time you inject the medication, at least 1 inch away from a spot that you have used before. If the full dose is not injected, call your doctor or pharmacist.

Do not reuse tocilizumab prefilled syringes and do not recap the syringes after use. Discard any used syringes in a puncture-resistant container and ask your pharmacist how to throw away the container."
drug;what is diclofenac ointment used for;"Diclofenac topical gel (Voltaren) is used to relieve pain from osteoarthritis (arthritis caused by a breakdown of the lining of the joints) in certain joints such as those of the knees, ankles, feet, elbows, wrists, and hands. Diclofenac topical liquid (Pennsaid) is used to relieve osteoarthritis pain in the knees. Diclofenac is in a class of medications called nonsteroidal anti-inflammatory drugs (NSAIDs). It works by stopping the body's production of a substance that causes pain.

Diclofenac is also available as a 3% gel (Solaraze; generic) that is applied to the skin to treat actinic keratosis (flat, scaly growths on the skin caused by too much sun exposure). This monograph only gives information about diclofenac gel (Voltaren) and liquid (Pennsaid) for osteoarthritis. If you are using diclofenac gel (Solaraze, generic) for actinic keratosis, read the monograph entitled diclofenac topical (actinic keratosis)."
drug;cephalexin is for what sexual diseases;"Cephalexin is used to treat certain infections caused by bacteria such as pneumonia and other respiratory tract infections; and infections of the bone, skin, ears, , genital, and urinary tract. Cephalexin is in a class of medications called cephalosporin antibiotics. It works by killing bacteria.

Antibiotics such as cephalexin will not work for colds, flu, or other viral infections. Using antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment."
drug;what is terfenadine;Terfenadine is a selective histamine H1-receptor antagonist devoid of central nervous system depressant activity. The drug was used for ALLERGY but withdrawn due to causing LONG QT SYNDROME.
drug;what is bisolvon;Bromhexine hydrochloride is a hydrochloride resulting from the reaction of equimolar amounts of bromhexine and hydrogen chloride. It is used as a mucolytic for the treatment of respiratory disorders associated with productive cough (i.e. a cough characterised by the production of sputum). It has a role as a mucolytic. It contains a bromhexine(1+).
drug;is it safe for a 72 year old to stop taking premarin?;Use of estrogen-alone, or in combination with a progestin, should be with the lowest effective dose and for the shortest duration consistent with treatment goals and risks for the individual woman. Postmenopausal women should be re-evaluated periodically as clinically appropriate to determine if treatment is still necessary.
drug;what are the side effects of taking the two medication amlodipine metoprolol together;There were six AEs reported in five patients. Peripheral edema 2.97% (3/101) was the most common AE, which was reported in three patients and was related to the study medication, probably to the amlodipine component. All these patients had hemoglobin (Hb) less than 12 g/dL at baseline (one patient had Hb of 11.6 g/dL at baseline, which was 12.1 at end of study and two had 11.7 g/dL which was 11.3 and 12.9 respectively at the end of study). Of these three, one patient had severe peripheral edema and was withdrawn from the study. The patient was followed-up and after a week time peripheral edema was resolved. Peripheral edema of mild and moderate degree was seen in one patient each. In these two patients, edema was resolved and improved respectively. Vertigo, lumbar spondylosis and eosinophilia (considered unlikely due to the study drug), were seen in one patient each and were mild in intensity. Though there were statistically significant changes in sodium, chloride, which showed decrease and blood urea, fasting blood sugar, which were increased, but these were clinically insignificant. Details of laboratory tests are shown in Table 6. The other AEs were of mild severity and not related to the study medication. Table 7 summarizes the AEs.
drug;how soon does losartan affect blood pressure;The effect of losartan is substantially present within one week but in some studies the maximal effect occurred in 3 to 6 weeks. In long-term follow-up studies (without placebo control) the effect of losartan appeared to be maintained for up to a year.
drug;how do steroids effect the respiratory system;Several efforts have been made to show the beneficial effects of anabolic agents in humans. In malnourished patients suffering from chronic obstructive pulmonary disease (COPD) nandrolone decanoate was beneficial in regaining respiratory muscle strength.74Recent data showed an improvement in expiratory and inspiratory muscle strength following treatment with oxandrolone in patients with tetraplegia.75 This increase in muscle strength was attributed to the observed increase in diaphragm muscle mass and resulted in an increased vital capacity. Basin and co-workers showed a beneficial effect of a high dose of testosterone on fat free body mass, muscle size, and peripheral muscle strength in normal men.76 During the 1970s and 1980s several studies were performed to investigate the additional effects of anabolic steroids on a training programme in healthy athletes. The results of these studies varied from no additional effect on muscle force production and no improvement in aerobic capacity77 78 to a small but significant increase in muscle force.
drug;why am i so cold taking bystolic b p med;Feeling cold is found among people who take Bystolic, especially for people who are female, 60+ old , have been taking the drug for < 1 month, also take medication Nexium, and have Depression. This study is created by eHealthMe based on reports of 11,671 people who have side effects when taking Bystolic from FDA, and is updated regularly.
drug;pneumococcal vaccine how often;"CDC recommends routine administration of pneumococcal conjugate vaccine (PCV13 or Prevnar13®) for all children younger than 2 years of age:

Give PCV13 to infants as a series of 4 doses, one dose at each of these ages: 2 months, 4 months, 6 months, and 12 through 15 months.
Children who miss their shots or start the series later should still get the vaccine. The number of doses recommended and the intervals between doses will depend on the child’s age when vaccination begins.
Immunization Schedules

 HCP adult and child schedules
View current schedules for children, teens, and adults.

CDC recommends pneumococcal vaccination (PCV13 or Prevnar13®, and PPSV23 or Pneumovax23®) for all adults 65 years or older:

Give a dose of PCV13 to adults 65 years or older who have not previously received a dose. Then administer a dose of PPSV23 at least 1 year later.
If the patient already received one or more doses of PPSV23, give the dose of PCV13 at least 1 year after they received the most recent dose of PPSV23."
drug;is it alright to use fluticasone when using oxygen;Pharmacological therapy can influence morbidity and mortality in severe chronic obstructive pulmonary disease (COPD). Long-term domiciliary oxygen therapy (LTOT) improves survival in COPD with chronic hypoxaemia. Oral steroid medication has been associated with improved survival in men and increased mortality in women, while inhaled steroid medication has been associated with a reduction in the exacerbation rate. We have analysed the relationships between pharmacological therapy including oxygen therapy, sex, performance status and need for hospitalization and mortality in 403 patients with COPD (201 men) after their registration in a national oxygen register for LTOT. The mean value of days spent in hospital per year was 44. An increased need of hospital care was independently predicted by a poor performance status, high age and, in women, orally administered steroid medication. Hospital admissions were significantly longer in the terminal stage of COPD among women receiving oral steroid medication. Increased mortality was predicted by a poor performance status and, in women, oral steroid treatment. Predictors of morbidity and mortality during LTOT were found to coincide. The increased mortality in women receiving oral steroid medication was found to be associated with an increased need of hospital care due to longer hospital stays during the terminal stage of the disease. When analysing effects and side-effects of steroid medication in COPD, the possibility of sex-related differences should be considered.
others;what is a high level of troop;TrOOP costs are those prescription costs that can be used to calculate when you exit the Donut Hole or Coverage Gap and enter the Catastrophic Coverage stage of your Medicare Part D Coverage. The 2019 plan year Out-of-Pocket Threshold or maximum TrOOP before exiting the Donut Hole is $5,100.00.
others;how long the trichomoniasis take to clear after i take the medicine;Most people are prescribed an antibiotic called metronidazole which is very effective if taken correctly. You'll usually have to take metronidazole twice a day, for 5 to 7 days.
others;how about the sexual medicine name;
others;is dronabinol marijuana how much are ten mg pills worth;The cost for dronabinol oral capsule 2.5 mg is around $94 for a supply of 60 capsules, depending on the pharmacy you visit.
others;is dronabinol marijuana how much are ten mg pills worth;"Quantity: 60; Per Unit: $4.68 – $15.91; Price: $280.99 – $954.47"
psy;What are the differences between psycho-social and sociology?;While social psychology studies the individual as an actor, the subject of action, sociology focuses more on the structure and functioning of large groups or institutions.
psy;What are the differences between social psychology and general psychology?;General psychology and social psychology are both interested in the individual. However, the former has a more individual approach and the latter a more social one. General psychology pays specific attention to the internal functioning of the individual, while social psychology focuses more on how people influence and perceive themselves and their actions in relation to the social environment.
psy;What are the differences between LOC and causal attribution?;"First of all the LOC (Locus of Control) corresponds to a general anticipation, an a priori expectation. While an Attribution is an explanation, a judgment made a posteriori on a very specific event. Moreover, the concept of LOC concerns reinforcements (""the law of effect"": reproduction of behaviour if positive reinforcements) whereas the concept of attribution refers more to people's behaviour or emotional states."
psy;What could I do when my girlfriend left me after 10 years of living together?;Ten years of living together can only make a difference, regardless of your age. But in a couple, each one evolves, sometimes together and sometimes the opposite. Your friend seems to have taken a direction of freedom. Time will be your ally if she has to come back and wishes to relive a story with you. But maybe not. So try to open yourself up to something else (different activities) and to other people. And you will see things differently. Sincerely.
psy;What could I do when my girlfriend left me after 10 years of living together?;your wife has made it clear from what you say she no longer loves you there is nothing left for you to do but to accept and grieve and leave her without living outside of you without trying to continue to maintain a morbid link.
psy;How to regain an interest in life?;Don't be left alone to mope. As you have been advised, talk about your difficulties and sufferings to your parents, and to your main teacher, if possible before the end of the week to have, before the vacations, an idea of a search for a solution. What would you like to do later? Do you have an idea for a job or studies that attracts you? Is the scientific orientation right for you? Would help during the vacations be able to put you back on your feet and re-motivate you?
psy;How to regain an interest in life?;Find a sport activity for example that suits you. Discover artistic activities and/or go to the cinema, the theater, shows, conferences. It will also allow you to make new friends who will not depend on your school environment. Take care of yourself, be attentive to your lifestyle, your diet, this is essential to cope with life's difficulties and stressful situations. With my encouragement.
psy;My dream is premonitory?;Your dream speaks of your desire. Now that it is clear to you, either you make it happen in reality ... or you continue to dream. Predicting the future is not the job of a psychologist.
psy;Is my dream premonitory?;Nothing can be premonitory, the dream is a safety valve for our body.
psy;Why can't I forget my perverted narcissistic ex-boyfriend?;To begin with, I think that a statement in the gendarmerie should be made for assault and battery in order to protect you but also to protect others. Secondly, I think that this relationship must have provoked a certain amount of physical and psychological fear. In my case, I strongly advise you to consult a psychologist who will tell you how to manage your fears and the fears that are ingrained in you. You can also do hypnosis sessions to let go of all this but before doing so, you should think about consulting a psychologist in order to manage all this.
psy;Why can't I forget my perverted narcissistic ex-boyfriend?;In a relationship between two people and when there is a pervert it is always very important to find out why your relationship is in balance. Indeed as of the first unacceptable behaviors for you, you should have left and you remained to support even more, thus that has a direction for you even if you feel victim, even if you are in a form of masochism, this man came to bring you something in the relation. it is by understanding that that you will be able to leave it and not reproduce again elsewhere.
psy;Why can't I forget my perverted narcissistic ex-boyfriend?;It's quite normal that you don't forget as quickly as that a relationship that must have been traumatic. It seduces you, gets you a job, and then puts you through extreme violence. I hope you have thought about reporting it on the dating site, so that it doesn't continue to be abusive. You now have to rebuild yourself, you have a lot of psychic work to do. You were certainly very afraid when he mistreated you, afraid of dying perhaps when he blocked your breathing! I strongly encourage you to contact either a victim support service at a court or a psychotherapist to get out of the nightmare he made you live with your passive complicity. Do not remain alone with these memories!
psy;How can I restore my man's confidence?;Narcissistic perverts are manipulative, so they know how to seduce you and turn the relationship into something addictive. This may be why you find it hard to forget and have nightmares. I don't know if it's him or you who broke up, but it's a good thing. Be proud of yourself. There's only one thing to do with narcissistic perverts: run away. He may try to come back, and at that point it will be important for you to be strong so you can ignore or push him away. If you feel guilty, know that under no circumstances are you guilty about what happened. 
psy;How can I restore my man's confidence?;Restoring trust to a person means first and foremost trusting him, loving him, adoring him, empowering him, knowing how to forgive, discussing, finding solutions. Act in his interests and your own.
psy;How can I restore my man's confidence?;You seem to be so much in love that you lose your autonomy. And moreover, the first love is not insignificant. Also, you are afraid of losing it. It is important that you find other interests in order to regain your autonomy and your personality (i.e. to live with him but not for him), and to detach yourself from your fear of losing him. If you have been together for 9 years, it means that there is love and that your relationship is serious. But by dint of fear, your behavior, against your conscious will, will eventually drive him away. Go out with friends, enjoy yourself (shopping, fitness, sports, going out...) and if he wants to see his family, do you have to go with him? Make yourself desired to be happy to find yourself afterwards. He needs to see other people and try to understand him on this point. You are young, there are many things to do and you have your life ahead of you. Don't be in too much of a hurry and don't be too impatient. Take your time. To help you let go and feel better about yourself, try meditation, sophrology, yoga... you may find a method that works for you. And if, despite your efforts, this relationship ends, tell yourself that it's not over. There is always something positive in what life gives us, only we don't always see it right away. Have confidence in yourself and in life.
psy;How to react to a person who has paranoid delusions?;If the situation with your friend is bothering you, you need to distance yourself for now. Is this the first time this has happened to her? In any case, if she is in a delirium of persecution or paranoia, do not attack her. You can also talk about it with family and friends to find out if they have been through the same situation before? In any case, don't play into her hands: don't attack her and don't make her feel guilty. If she starts to physically assault you again, call the fire department, they will be able to accompany her to the emergency services nearest her home. Keep me informed.
psy;How to react to a person who has paranoid delusions?;Do you live in or near a major city? If so, and your friend refuses to see a psychiatrist, I recommend that you look up the phone number of SOS Psychiatry, keep it with you and call as soon as a crisis arises. You will then benefit from a home visit, be less exposed, and contact will finally be established.
psy;What are the associations that help paranoid families?;I don't know of any association that deals specifically with paranoid patients or their spouses, and is it prudent or appropriate to advertise (or advertise) under such a name knowing the potential of some of these patients? You can find within associations helping patients and their families in your region (in France?) or on the net you can find interesting sites mostly Canadian dealing with problems of the couple and others for the children of subjects suffering from these disorders you can for example consult the Quebec site.
psy;What are the associations that help paranoid families?;Some choices in life are very difficult and painful. You are in that situation today. Your husband has been under the care of a psychiatrist for many years but he only takes his medication when he feels like it. This shows that your husband has no awareness of his illness: he doesn't realize the seriousness of his paranoia. You are torn between your love for him and the care you can still provide him. This is really admirable on your part, but I think you should listen to the psychiatrist's advice when he tells you to distance yourself. Protect yourself and your children. At the same time, find a professional to support you psychologically because you are going through a difficult time. Also get closer to. Close bones. Speaking of associations, get closer to associations of people with a loved one who has a mental illness. They will be able to provide you with support.
psy;What are the associations that help paranoid families?;Do you know Unafam? Unafam is an association recognized as being of public utility, which welcomes, listens, supports, trains, informs and accompanies the families and the entourage of people living with psychic disorders. You will certainly be able to find on the internet the address closest to your home. Furthermore, I encourage you to look for psychotherapeutic support for yourself in order to help you face a situation that is objectively difficult.
psy;What should I do if I am anxious by nature?;Anxiety if it becomes chronic can be a real torture in everyday life. To relax, you can try relaxation (breathing, massage, meditation), listen to music, practice a sport activity, go for a walk in nature, change the decor of your home. You can also do psychotherapy sessions that will allow you to understand the origin of your anxieties, how to make your emotions flow and find solutions to find a better well-being, that is to say to find a taste for life, the pleasure of doing activities, to take time for yourself.
psy;How can I have a strong character like my friends?;"You ask the question of ""strength of character"" in the sense of the ability to assert oneself, to affirm one's character, to have ""the strength to defend one's opinion, one's choice. Your options"" even if it means making them accepted, if not imposed on the group, or at least sticking to your personal options without feeling ""obliged"" to follow the options of others or to erase yourself in front of them. This requires the ""audacity"" to express yourself without fearing in advance the perhaps critical opinion of others. Also the courage and audacity to believe in the validity of your opinions and your choices without holding them in advance as inferior to those of others: this requires confidence in oneself, in its intrinsic value, the strength of audacity to express one's opinion without retreating before the POSSIBLE existence of one or more different opinions, the audacity of the strength to argue and try to convince without weakening. These traits of ""assertiveness"" are grouped together under the term ""assertiveness"" and you are among those who have a problem at this level. Unfortunately, you do not indicate anything about your age, your activity or your life context. In principle, with the help of a shrink, who is willingly a hypnotherapist, you could correct your difficulties, which can be assimilated to a handicap in relational and social life: this can be corrected by making an effort on yourself, guided by the therapist, at least if you are willing to make this effort. I can't tell you more because I don't have enough data."
psy;How can I have a strong character like my friends?;Are you a teenager? Sometimes it's difficult to impose yourself. But I think, above all, that their character is too strong compared to you, that you feel inferior to them. It would be better to have other friends who are more like you, and with whom you can talk about anything without fear of their reactions. By staying with them, you will continue to suffer, and to be a person that you are not... It's a shame, frankly.
psy;Why don't I have any memories of my childhood?;it can happen that one has the impression to have forgotten everything of the period of childhood - it is due to several factors especially of the emotional series - but it is difficult to answer you by not knowing anything about you apart from your age, background, profession, family situation and life of possible couple.
psy;Why don't I have any memories of my childhood?;So far, I've been able to meet people who had different types of memories, concept-related memories (without being able to associate a date to them), emotional memories (who remember what they felt but didn't necessarily see or hear), visual memories, auditory memories? What type of memory do you have and has it happened recently that you find it difficult to remember a person without some other type of clue? A person can also forget everything after a trauma. Perhaps there are still other clues...
psy;Why don't I have any memories of my childhood?;No memories? Or no visual memories? Sometimes it's easier to find sensations, smells, touches, than to see scenes again. Especially when you feel worried, as you do. If necessary, consult a hypnotherapist in order to intensify the tenuous threads that connect you to your childhood. The unconscious never forgets anything...
psy;Why don't I have any memories of my childhood?;Many people have what are called defensive mechanisms that prevent them from recovering their memories, which does not allow them to access their traumas that lead to various problems in their lives. In therapy, the use of hypnosis often helps to reduce resistance and thus to bring back memories.
psy;Why don't I have any memories of my childhood?;Forgetfulness is an ability of our brain. Sometimes we forget where we put our keys when we hold them in our hands. The brain plays tricks on us! I say capacity because it allows us to free the system (the hard disk) to store other important information. Of course, some may not be immediately accessible or not at all. This is often characterized by the way and intensity in which we experienced the situation. I'm sure you remember your last burst of laughter, don't you? So to conclude, it's a matter of identifying the most beautiful memories you've experienced lately, and others again, just to see that everything is going well and that your emotions bring you back unconditionally to your most ingrained memories!
psy;I would like to know a precise definition of cognitive disorders.;Cognitive disorders are simply disorders of cognition, i.e. knowledge or information that affects the memory, but not only. 
psy;How to become mature at 16?;Each person is unique. You're wondering how to become more mature at 16. How old is your boyfriend? What are the elements or facts that make him think you are immature? Is it in the way you talk, dress and behave with others? Is it the way you make decisions, do things, laugh? Is it in the way you love him? At 16 years old, a certain immaturity is not extraordinary because you are still in your teens while you are moving towards adulthood. In a couple, everyone evolves differently but too much difference can destroy the couple. In your situation, your boyfriend seems much more mature than you, so he has different expectations of you, he expects you to behave like an adult. Your immaturity must create discomfort for him towards others and perhaps shame. So try to change your behavior: be more of an adult than a child. This will avoid distension within your couple.
psy;How can I make my husband understand that he has a psychological problem?;I advise you to first take your husband for a consultation with a psychologist or psychotherapist, who will be able to guide you.
psy;How can I help my mother get out of her depression?;If your mother starts to feel depressed, she can go to a medical center to see a shrink. It's free and it can help her. Congratulations on your maturity.
psy;How do I stop drinking?;To stop drinking, you must first of all want to. Then, depending on your state of addiction, it is important to take stock of your situation with a doctor who will prescribe a check-up and, if necessary, medication to help you, especially if you show signs of withdrawal. Finally, to reconstruct your behavioral pattern and respond differently to what pushes you towards alcohol, complementary therapy is very important. Hypnosis, EFT, or other. Finally, moving physically indicates to your unconscious mind that you want to move. Establish new habits. A.A. is people who will understand you if you accept their help. There is no magic bullet: decide and do what works for you.
psy;How can I stop drinking?;Stopping drinking, so possibly if you decide to do so, short-term therapy can help. Therapy and hypnosis do not help you to make the decision but more importantly to validate the decision and to understand and help.
psy;Existential death anxiety, how to get rid of it?;Anxiety is often linked to the fact that it is difficult to live in the present. Anticipation, which is a normal activity of the brain, with another part looking for solutions to a whole series of hypothetical hypotheses, can become pervasive and harmful. It doesn't matter what logical reasons and explanations you can come up with. Hypnosis, which addresses the unconscious mind, is perfectly suited to solving this type of difficulty.
psy;Existential death anxiety, how to get rid of it?;I invite you to consult a psychologist-psychotherapist to talk about your death anxieties and understand where they come from in order to calm them. Talking about them in therapy will allow you to work on them, to express your emotions and related elements of your story in order to relieve you of finding yourself in a dynamic life.
psy;How can I calm my anxiety when I'm alone?;"So this is the technique I have been using for the last 50 years. It's all based on breathing. 1- Slow and deep abdominal breathing throughout the exercise. 2- You try to mentally project on your forehead a view that reminds you of a happy time in your life, the goal is to mobilize your mind and ""keep it from wandering"". 3- You start from the tip of your feet and work your way up to your ears by contracting and relaxing every muscle you find. There you are relaxed and remain in slow breathing for two or three minutes. If you are lying down, you will sleep fast. This exercise is very simple, after a few days it will become reflex and well coordinated. Normally you regain control of your body and your life. Try on the Internet there are lots of relaxation exercises, this one is the simplest and I assure you that it works. I hope I have contributed to a little more control of yourself in a calm and gentle way."
psy;How can I calm my anxiety when I'm alone?;Your resistance to stress, which has an important biological support, also requires a healthy lifestyle: a healthy and balanced diet, the practice of sports and a good sleep. A good relational network and a good work/leisure balance will also be very useful to you. I also invite you to reconsider the decisions to be taken, one after the other, use writing for this, a notebook for example, which will give trace to your reflection. You will be able to build up your reflection in this way and thus establish the best action plans. This will calm you down and you will regain control of your life. Become more confident in a life that is generous, this mental attitude will open up more favorable and fulfilling possibilities for you. It will also generate greater mental and physical energy. New opportunities are opening up for you, rejoice!
psy;How do you help someone with agoraphobia?;First of all, make sure it is agoraphobia. The diagnosis is a matter for a specialist and not a rough search on the Internet or in a medical book. Similarly, the management will be done with a shrink. This is the first step in alleviating the girl's suffering and that of your friend.
psy;How do you help someone with agoraphobia?;"Agoraphobia is very disabling because it often locks people in their homes and creates a real withdrawal. The first step to get out of any type of phobia is the will to... The results will only be positive if your friend's daughter sincerely wishes to get out of this ""hell"". This agoraphobia can also be the consequence of a deeper evil often creating a significant self-confidence problem. A therapist can accompany your friend's daughter on the road to rebirth. Talk to her about it and see if she is open to consulting a professional. It's a great way to continue on your life's path."
psy;How to get rid of bad thoughts?;"What you are describing manifests an old and familiar suffering which escapes you, which hides, but which acts in the shadows, through these ""bad thoughts"" from which you are suffering. In order for them to leave you, it is necessary to take a therapeutic approach with a professional able to listen to what escapes you, the unconscious, and which is based on what you experienced in early childhood. It will be about talking about your early childhood, what was experienced by your mother during pregnancy, about family history, and about finding out what was difficult and painful when you were very young. You will gradually discover this kind of reflex, unconscious, which locks you up. As you speak and be truly listened to, these ideas will gradually fade away and give way to the recognition of the good things that life gives you to experience."
