女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
男,最近工作压力大，由于工作变动，纠结时间过长，现在工作做出了选择，又再比较那种工作好，有点患得患失，现在一想这事就恐慌，就焦虑狂躁，有什么好办法能控制？谢谢;怎么办呢？
女 我害怕校园暴力 总担心被一些女生找麻烦 有时候她们盯着我看 我都会觉得她们看我不顺眼 在大街上跟同学讨论她们的时候还怕别人听见去告诉她们 就是很恐惧 严重影响生活;已经给你留言了，私聊详谈对你帮助更大一些
女 脾气容易暴躁，生气时容易激动，不会反驳别人，事后又后悔自己笨！做事笨所以老拖拉！感觉生活没意思，不想上班。不知道自己到底需要什么，该做什么，没人可以倾诉，;孩子，我们还没有整体认识自己啊
男,23岁,前几天女朋友和我吵架了，好不容易哄回来了，今天她又和我吵架了，还要闹分手，就因为我吃饭的时候摸了一下别人的狗狗，她说脏，我说不要看它表面脏，其实并不脏;你想解决什么问题？
女,我最近很担心一些身体状况，特别是小孩的，稍微有点什么不对劲的地方就喜欢往坏处想，而且越想越担心，整天闷闷的，什么也不想做，食量也不好！我该怎么办啊，好痛苦;我该怎么办啊
我和未婚妻吵架了，但是我不知道该说些什么！采用冷暴力对待，现在她给我打电话和我说一通，我都不知道怎么回答，只是沉默！现在她都伤心的不想结婚了！我该怎么做呢？;你的个性交往沟通能力需要咨询辅导
男 事情是这样的，我表现的不信任我女朋友，我女朋友因为这个以前和我分过一次，前几天我又犯了这个问题，我女朋友很坚决的把我甩了，怎么挽回啊，现在我认错她都不理我;挽回需要过程，建议电话咨询
男 六年来我们闹过很多次分手，我都极力挽回，这次到了谈婚论嫁的时候，我也已经把房子买了。可是这样她说感情淡了，他的压力很大，想分手！我不想失去她，请问怎么办？;请帮忙，谢谢
男,老失眠，一睡下满脑子胡思乱想，每天都在一两点才能入睡，严重影响工作效率，每天无精打采，一到闲下来大脑就活跃起来，每天带着黑眼圈眼袋，我是不是得了心理疾病？;帅哥
女 出现了心悸，坐立不安，失眠，心跳加快的现象，害怕自己会因心慌而死掉，去医院检查了没有身体上的毛病，是医生说是心态的问题，但是我要怎么缓解这种问题呢？求指导;你为什么事情而紧张焦虑了。
女 我和男朋友相处一年多了，他平时对我就不是很好，再加上他买房了，不写我的名，我朋友都劝我让他把我名写上，他不写，我一直都很没有安全感，我不知道怎么办，想咨询;你害怕什么
女 我是一名学生，马上进入小升初，学习压力很大，除学习外，我还学着古筝，今天是我学古筝的日子，因为我要记笔记，就跟妈妈说今天就先不去了，妈妈就对我谩骂还打我。;美女
男 我两个月前和女朋友分手了，原因是女朋友嫌我不主动和他聊天，我现在非常后悔，想和他和好，而且现在已经有人在追她了，两个人的关系越来越好，请问我该怎么挽留女友;你们多大了
女,22岁,我跟我男朋友好了四年。突然最近一个月。他对我不好了。不理我也不给我打电话。还老生气。 也不听我话了。什么事情都不告诉我了。这是为什么。到底有什么问题啊。;为什么会这样了。谁能告诉我啊。
女 和他认识一年多，陌陌上认识的，他很宠我，我知道他喜欢我，可是他比我大四岁，而且我不想再纠缠不清，他老是不放手怎么办，叫他滚，什么难听的话都对他说过可是没用;对这段关系，你是想放弃，还是想继续呢
女,我跟老公恋爱七年，结婚两年了，孩子刚刚9个月，从怀孕到有了孩子，他就从来没有碰过我，从来不提，但他绝对没有外遇，我想知道这是怎么了，这样下去，会不会有什么问题;这是老公的问题  是需要他本人咨询的
男,33岁,我老婆比较易怒，最近生小孩子，经常向我父母大吼，指责，而和她自己父母态度和蔼，我的父母也是老实人，低眉顺眼的伺候她，但她去一点不尊重我的父母，怎么处理？;需要具体了解具体情况而不是仅仅根据你的评价就给你支招
终于分手了，不需要再烦，再纠结了，虽然不适合，感情不好，分手了心里依然好难过，一直想哭，接下来不知何处何从，好没安全感。想找份工作，也没动力，心里害怕外出漂泊;一直来我都说对他的不满，他从未说过，现在分手了。他把对我的不满才说出来，我觉得他太可怕了
女,23岁,和男朋友在一起7年了  觉得他越来越不在乎我了。很多时候都不愿意陪我，生病了痛经在床上难受死了，他却在旁边打了一天的游戏，没有一句关心。这样的男朋友还能要吗;这个男友不能要，其他这个年龄的男人
孩子读初二，已经有两个多月没有去学校了，给她报了一对一的补习班，她今天拖明天，明天拖后天，一直说去，但到了要去学校时，就不敢去了，家长无计可施，有什么办法吗？;在学校发生什么事情了吗？
老师看到我会笑，好像很开心的样子，跟我妈打电话居然会傻笑片刻，还问我要我的微信，后来还加我微信，我在学校的成绩并不好，不知道什么原因？我跟那些老师也并不是很熟;你想解决什么问题
男,我和老婆相处过程中，因为她不我小，比较任性，婚后总抱怨我的缺点，要我改变。而我总认为是她问题，不懂包容，我不改变，她也不改变。现在都不说话了，感觉过不下去了;婚姻是大事，一定要学会沟通处理
老师你好!         老公他一心想离婚  ，而且做的很决，把我当仇人，说除非他死了不离婚，孩子也不让我带，      说设感情}，不想看见我，也不想听见我声音，我不想离婚，怎么办;那确实让人很着急。
女 因为前段时间家里有老鼠，明明已经被赶出去了。可是我还是觉得家里有，晚上听到一点声音就高度紧张，每日睡前都会检查一遍都不安心。可能也是因为被它抓伤过的关系……;可以讲一下被抓的经过吗？
男 和前女友吵架，然后越吵越凶，我提分手，她一开始不同意，我一直打电话烦她，然后他就和我分手了。前几天对我态度一直冷冰冰的这几天慢慢好点了，我很喜欢她，很想挽回;你挺矛盾的
女,我是已婚，可却对一个其他的已婚男人动了情，开始是那个男人追的我，我压根没动心，现在动心了，那个男人心却不在我身上了，可我怎么也忘不了他，我怎么才能忘了他呢？;自己要什么？婚姻中缺少什么
女 失去一段恋情，很难走出来，且对方瞒着我已出轨1年，现在他跟她也没有在一起，也没有和我在一起，还否认了以前对我的所有感情，我该怎么去释怀，心里还无法忘记他。。。;嗯
女 有时候听见父母在我耳边说要我嫁给有钱的人，但是我已经有男朋友了，可是男友的家境普通，自己也觉得父母有时说的话也很有道理，可是要我跟我男友分手我做不到，怎么办;好
男,我是一个刚失恋的男生，今年25岁，她18岁，就在昨天她对我说出了分手，可是我不想和她分手，因为我真心的喜欢她，问她原因，她却说没什么原因，我很想她能够陪在我左右，;恋爱多久了？
男 女朋友跟我分手了，是我给他的感情压力太大，日积月累让他受不了。感情压力爆棚跟我分手，对我没感觉了 不喜欢 不爱了。快五年的感情了我想挽回。有什么办法能挽回？谢谢;你给他很大的压力你是怎么给他压力的呢
女 我老公是军人，我们没有孩子，他上个月去法院起诉离婚，他不见我，不接我电话，公公婆婆也不见我，也不接我电话，可我真的不想离婚，我非常的痛苦，我的婚姻还能挽回吗？;他离婚的原因是什么呢？
我是一名在校大学生，在学校里不太会跟人交往，跟人说话的时候有点恐惧，总害怕说错，也不会跟人开玩笑，我想得到各位老师的指点，去做一些改变，使自己说话能够变得幽默点;孩子
我最近总是很焦虑，无法安静十分钟做一件事情。原因，人到中年，老婆跟我准备离婚。生意遇到了很大困难。总是在担心，纠结，心情不好，不愿意出门与人交往，说话急躁，忧虑;这算不算忧虑症？
男 跟女友分手一个月了，之前在一起两个月，分手以后我总是纠缠她她现在都感觉烦了。有的时候给她打电话问她干什么去她也说，我没钱了也给我花钱，为什么就不能跟我在一起呢;有什么看法啊
女,本人研究生二年级，因为毕业设计压力很大，没有头绪，感觉现在的生活不是自己想要的，觉得读研读的很后悔，却也没有勇气现在放弃。想到要找工作，要毕业，就觉得压力大。;你要想到有好多人想考研都考不上
女 最近这段时间感觉特别压抑，心情特不好。总是想些乱七八糟的，这几天换了新的工作环境，总是没什么精神，并且这两天，老是自己哭泣，并且朋友们都说我没有以前那么开朗的;是新的工作环境你情绪不稳定吗
男 我追了一个女孩有半年了，刚开始我们还是电话微信联系，后来就聊着聊着，微信不回我了，但是打电话还接，我们是老表介绍的，她和我老表是同学，希望大家帮我解决困惑。。;你能帮我解答困惑吗
女 最近感觉自己很烦躁！动不动就发脾气！对孩子越来越没有耐性！孩子两岁多就叛逆！不知道是家庭影响还是我自己的问题！近月来很消极，感觉是压力太大引起的，求打开心结！;美女
女 我看到上司就会有恐惧感，浑身不自在，双眼不停眨，我是一名护士，因为这个问题，已经换了好几份工作，因为害怕，面对不了，才辞职，烦啊，谁能明白我，求救救我，谢谢！;每个人都有对权威的恐惧，但是你的这个恐惧已经超出了一般。
男 我欠我女朋友钱，一千多，她一直想我还钱，总是问我会不会还她，老说我在骗她，我现在真的没能力还她，我们在一起两年多了，我有可能欠她那一点钱吗，为什么她要这样对我;对她解释  让她理解  看到你的真诚
男 跟一个同事网络聊的来掏心掏肺，现实他就像变了一个人似的，陌生也没话说，对他用心良苦，他也是默默的。我不是为了要求回报，私下又会跟我聊，请问我要怎么对待这个友情;他知道网络中的你是谁吗？
男 男 性格有些孤僻。喜欢宅在家。有些洁癖，有时遇见熟的人很热情，陌生的人或者讨厌的人很冷淡。脾气变化的很快，感觉不到被重视。渴望别人来无自己交往。有时会装作高冷。;你多大呢
男 我老婆最近说不喜欢我了，但有时又和我很亲热，她时不时就变态度，还可以让我出去再找过女的，这段日子都在和我嘈离婚什么的，还说最近有喜欢的人，她是不是有什么心理问题;你需要担心她是不是有人了
女 怀孕三个月了   之前孕吐很严重  造成了心里阴影  担心孕吐而不敢吃饭   总是感到惊恐  不敢睡觉   总是感觉难受  不想要这个孩子了  感觉是为老公和父母生的孩子   感觉崩溃了要;很理解你的心情
女 感觉老公不心疼自己 不在乎自己 感觉我俩距离越来越远 根本不像夫妻 有时候一句话不说 他跟所有人都有话说 但就跟我就没话说 他把他家里人的事从来都当回事 我的事从来都没有;我跟我老公刚结婚四个月 就感觉距离越来越远
女,我在职场被人冤枉没有站出来澄清，现在很多人看不起我了，人际关系很糟。和老公谈不到一快去，他经常给我负能量，又没人疏通，现在越来越觉得自己是个稻草人了。我怎么办？;一次的失误不是永远，我们可以重整旗鼓
女 我感觉经常情绪低落做事提不起精神没有力气行尸走肉上课也听不进去一直在幻想，不想说话，晚上无论多早睡早上起不来一直想睡觉，别人说我什么不好的话我会记好久心情也不好;美女
女 老公家的外甥媳妇很粘他，我说了让老公离她远点，老公每次见了都没法拒绝，有次我看见她又在粘着和我老公合拍大头照，我心里很不舒服就打了我老公一巴掌，我是不是做错了？;美女
女,因为我的坏脾气，每次吵架都吵的特别严重，现在老公三天没回家了，打电话也不接，我意识到自己的错误了，但是老公就是不愿意回家，我该怎么办才能挽回并修复好我们的感情？;您有怎样的坏脾气？
处了七年的男朋友，现在在国外，属于异地恋，感觉他变了，不怎么联系我，对我所有都不关心，我对他的关心，他觉得是压力，我提出分手，但他态度不明确，含含糊糊，我该怎么办;他不怎么联系你，你感觉受冷落，是吗？
男 也不懂从什么时候开始，我可以让别人很快和我成为好朋友，成为别人最在乎的好朋友？然后等对方心理需要我了，我再绝情的离去。。我不懂我是在惩罚谁，惩罚自己，还是别人？;你指的是队所有人还是女性
男 我性格比较内向，一见到女孩子就不好意思说话，然后表白总是不成功，以前追的一个女孩一开始还愿意理我，然后别人和她表白她一下就好了，而我就怎么说也不行，我该怎么办？;这里您的信息量有限，您愿意详细谈谈吗？如果想深入咨询尽快解决您的问题，请点击我的头像进入我的主页选择您希望的方式来咨询，老师尽力帮助你好吗？
男 我是高三复习生，总感觉自己呼吸声很大。甚至全班同学都听得见。同学听到我的呼吸声他们反应就是咳嗽和敲桌子。这使我注意力分散很大，我全部注意力都无法集中。我该咋办？;你别去关注就好
女,我妹去年交往的男朋友，离我家很远，而且男的长的很难看，而且是个高中毕业生，我妹是大学毕业，家里很反对，但妹妹很愿意，家里闹的不可开交，怎么才能让我妹妹迷途知返呢;改怎么处理呢
男,29岁,现在的女朋友网络跟别人有小暧昧，而且会隐瞒，我是那种你告诉我我当时会郁闷的人，不告诉我我会做过激行为，例如监视之类的！每次谈都会回避她暧昧的人，然后就是吵架;你承认你心眼小吗
女 恋爱时，由于意见不和发生争执，男方发信息说出了“我们真的不合适，希望你找到更幸福的归属”，这样的话，之后发信息就不回了，想知道男人的心思？这样还有挽回的余地吗？;专业挽回，很愿意帮你
女 我是初中毕业就去读会计  并没有好好的学   毕业之后白天在上班  晚上去补习班上课    今天刚刚第两次考完从业资格证    还是没有过    怕被老妈骂  现在不敢回家了       我该怎么办;我现在应该怎么办啊
男 对于以后得职业选择有种迷茫感，找不到兴趣点，现在觉得对什么事情都没有兴趣，有时候会觉得自己对什么都没有感觉，没有情感，就是有时候自己都不会伤心，感觉压力大，烦躁;欢迎电话咨询！
女 以前很相爱，男的一直主动了好多，我一直没有给他正面回应，可现在男的好无所谓了，对我不理不睬的，不会主动的找我，跟我说话都很不耐烦的，你觉得我们还有必要走下去吗？;说说你现在的想法和感受吧
女,你好 我21岁 濒死感或失控感在正常的日常生活中，我几乎跟正常人一样。而一旦发作时（有的有特定触发情境，，我就会突然出现极度恐惧的心理，体验到濒死感或失控感。该怎么办;考虑和我电话咨询。评估确诊。治疗。也可以去医院。
女 很想忘记他家暴的一幕幕，可是闭上眼，却怎么也忘不掉！该怎么办？很讨厌身边的这个伪君子，可是又好想他可以改变，我们没有争吵，幸福的过下去！可是都是奢望！怎么办呢？;当初为什么和他结婚呢？
女 我是一名女学生，今年16岁，是一名班干部，所以无论是学校什么奖励或者活动，我都能优先参加，但最近几次，我都没有，而其他班干部却可以参加，为我有点伤心，内心特别不舒服;我应该怎么办
女 我就快要参加中考了，会考的成绩挺理想的，可以上我这城市最好的高中，但是上了初三我成绩不断在跌，我很想努力，但是一回到家就不怎么看书，一看书我就觉得烦……我该怎么办;专门研究解决学生学习心理问题
女 我和老公生宝宝之前  感情很好   生完宝宝  他就各种看不惯我  把我以前不好的事也拿出来了  现在越来越厉害   要和我离婚  对我冷暴力  孩子现在八个月了，我快不能忍受了  怎么办;宝宝是男孩还是女孩
女 我总是焦灼，静不下心，特别容易生气，朋友说我变了，变得让他们想打我，现在也一直静不下心来看书，学习也没有目标，整天庸庸碌碌，只想玩手机，想戒又戒不掉，好烦！！！！;你多大
女 班里有的男生对我说话带刺，但我并没有觉得哪里惹到他了啊，很烦。 不知道怎么与人相处，我们分班了，我和以前的同学打招呼她都不理我。 我最近经常因为一些小事耿耿于怀，烦;老师
男 您好！有个问题一直纠结着我！我和我老婆是相亲认识的也算闪婚！之前遇到一些矛盾！现在夫妻生活她很反感！一个月一两次！没有遇到矛盾之前也有些抵触！请问一下我该怎么做！;你问过她抵触的原因吗
男 你好，我老婆和父母吵架，我打了老婆，老婆一时生气，提的离婚，可是后来给我机会让我好好改变，现在岳父岳母逼老婆离婚，要重新找对象，可是我老婆挺孝敬老人的，我该怎么办;你们结婚多久
女,23岁,我总是胡思乱想，想到自己事业爱情的不顺心以及身边家人亲戚每个人的不顺不容易，然后经常性的想起就流眼泪，别人一问眼泪也直流不止，好像无法自拔了。请老师帮忙疏导。;帮忙疏导？胡思乱想？
男 昨晚女孩子生日，大家有点醉的情况。向她表白了。她说说了好多原因不可以。我就亲了她没有反抗。说我们做闺蜜不好吗？问她为什么？她家里只想我找个本地的。她是广东，我广西;"男
昨晚女孩子生日，大家有点醉的情况。向她表白了。她说说了好多原因不可以。我就亲了她没有反抗。说我们做闺蜜不好吗？问她为什么？她家里只想我找个本地的。她是广东，我广西"
女,您好 我和我男朋友经常为了点事情吵架 每次吵架过后我们都会好好坐下来说出自己的想法 他每次都答应的很好 可是总没做到过 还说他想要自由 想和朋友出去坐坐 我是不是哪里出错了;恋人之间通常都是因为想要改变对方，而产生矛盾冲突，建议多站在对方的角度换位思考，接纳对方原有的样子，而不是从新打造一个自己理想中的对象。
男,22岁,我喜欢公司的同事。一直没有像她表白。然后被拒绝了一次。然后我就没追了。但前几天公司同事出去玩，同事起哄、我亲了她、她也没拒绝。后来我约她来吃饭她总拒绝。怎么办;在公司里多表现自己的能力和魅力，才能吸引她。
男 本人男98 身高176  体重60   女方98  身高163   体重50 是我先去追她的这半年我们过的很好  我对她很好百依百顺的  可是她突然就不理我了  我一碰她 她就生气 让我走 想跟我分手 我也不明白为什么 我没有什么地方是对不起他的 她说看我就是烦 但是我也不想放弃这段感情是很累;我这是为什么
男 我醉酒后强行与女朋友上床，女朋友很反抗。完事后哭了，对她造成的心理伤害很大，她有点不能接受我，甚至向我提出分手，现在和好了 但是心里一直忘不掉上床的事。我该怎么做？;我该怎么办
男 我失眠，我通宵五六个月了，晚上睡不着而且就出去喝酒，不管我晚上怎么睡我都睡不着最累最累也就睡四个钟就会醒来，是不是生活太压抑了，一直找不到怎么可以让我晚上好好睡觉;这之前发生了什么事情？
女 不知道为什么总感觉身边的人都是串通一起对付我的 但也不知道为什么要对付我也没有什么目的 出去逛街或者喝茶的时候总感觉别人都在看着我议论我 这种感觉给我压力很大 每天烦躁;多长时间了
女 我和老公性格不合，一年前回家遇到一男同学后来成为了情人，没多久就被儿子（21岁）)知道了，他就跟我闹情绪，我该怎么办？注，以前老想死，和男同学在一起后就没想死的想法了;情人帮您赶走了想死的念头，但是新的困扰又来了，我可以也愿意帮你化解，需要我的帮助，可以关注我，预约我的电话咨询！
男 强迫症 习惯的事动作重复很多次，包括肢体动作姿势 洗澡刷牙洗脸很久时间 回忆今天做的事情反复回忆很严重过一会就回忆一会就回忆，老是感觉自己会不会把自己的的东西掉了，，;你多大？个性追求完美，是吗
17个月大的孩子教育应该注意什么，心里发展是怎样，心里需求有哪些？怎么看他玩水，如何让他玩，苦闹的时候给他东西被他控制，以后遇到这样的情况怎么处理，对待他乱翻家里东西。;保障安全的前提下，可不可以让他尽情玩呢？
男 我的一个亲戚29岁（两个孩子的父亲），在网上聊了一个女朋友（25岁已生育两个孩子），想和现在的对象离婚，无论家里人怎么劝说都不起作用，请问怎么和他进行沟通才有效果，谢谢;很让人着急啊
男 我和老婆结婚7年孩子6岁我老婆很爱我每次吵架她都让着我，可是在最近一次吵架中我老婆要和我离婚对我彻底死心了。在双方家里的帮助下我媳妇她爸爸给了个机会。改别我我该怎么做;我现在才知道我离不开她，
女,33岁,我结婚八年，有一个上二年级的女儿，我跟我老公没感情了，大概分居有六年了，之前怕离婚影响小孩，但是又想一辈子这么久就这样过也不是办法，我想离婚，但他不同意，怎么办;这你得看自己离婚的决心
女,老公做错事让我觉得难过我就会哭，他安慰我几句如果我还没停下来他就会生气，然后就各种不耐烦，看他不耐烦我就更加难过，就会更加止不住眼泪，然后他就会觉得我一哭就没完没了;美女
我和我的媳妇结婚四年了，因为一点事吵了一架，她就回娘家了，怎么接她，她也不会来，丈母娘和媳妇提出来要买楼不买就离婚，因为我家是农村现在根本拿出来这么多钱，我该怎么办啊;我该怎么办啊？
女,25岁,怕单独出门 感觉别人在监视自己讨论自己 不能集中注意力 但别人看自己时或讨论自己时感到不自在头晕 在人多的地方感到不自在，觉得自己哪都不如别人，也觉得别人不喜欢自己，;多久了这样？
男 感觉内心好压抑，一点都不快乐！现实的生活变得好无趣，自己变得好内向，不愿意和别人去交流以后，现在自己的思想和别人的思想差异好大，人生观，价值观也非常不同！活的好累！;你多大呢  从什么时候有这样的感觉呢
男 一个曾经和我在一起四年，很爱我，现在对我死了心的女人有办法挽回么？分手原因是我沉迷游戏，她离开后我半个月后才戒掉了游戏想通了去找她，她绝望过了吧，还有没有办法挽回？;先做好自己，如果可以做朋友，先做朋友
女,跟男朋友谈恋爱一年了，现在他总是无缘无故失踪，找不到人，我整天胡思乱想，想要跟他分手，可是总是放不下，不知道该怎么办了，他说他很爱我，可是我觉得他从来没考虑我的感受;胡思乱想些什么呢？
女,我们过完年回的家，回家后第一天因为我妈家有事，我叫老公去帮忙，当时婆婆也听见了，老公答应第二天去，可是到中午都没去，我打电话他说我不给他钱给他妈看病。就因为这吵了架;夫妻之间缺少有效的沟通
男 男 就是    初中快毕业了    自己还没有想好考什么学校     可能是因为父母知道我考不起高中    就私自帮我选了个学校   但我对这门专业不感兴趣     我还是想按照自己喜欢的目标走       现在已经在这所学校快读了一年了   觉得自己根本不感兴趣     但是不知道怎么跟父母开口;孩子
女,30岁,我和丈夫都是再婚家庭，婚后我们有一个女儿，婚后发现丈夫和他的前妻来往密切，还经常去她家，他把那边的家照顾的也很好，不仅仅是经济来往，感情交流的也很好，我该怎么办;他前妻没有重新组建家庭吗？
我感觉自己做什么事都没有什么兴趣，不知道该怎么办，心理很矛盾，我年龄不小了，可是还没有找对象，但是心理却感觉没什么意思，挺排斥的，特别怕看对象，想问一下是心理有问题吗？;我感觉自己做什么事都没有什么兴趣，不知道该怎么办，心理很矛盾，我年龄不小了，可是还没有找对象，但是心理却感觉没什么意思，挺排斥的，特别怕看对象，想问一下是心理有问题吗？
男 几年前去上坟  突然感觉人死了以后在坟里一定很孤独    后来就老是害怕   死了以后用火炼   最后埋在黑暗的地下   每到想到这里久久不能入睡   困扰很多年了   我该怎么摆脱心里恐惧？;你现在多大了？
女 我女儿今年上初中一年级，但是学习下降很好，而且不爱学习，脾气暴躁，总觉得没有安全感，有种会被抛弃了的感觉执行力还差，拖拖拉拉，总是没精神，请问是心里有问题还是叛逆期。;我孩子好像叛逆期来了
男 不愿意上学，一到学校就心跳加速，想尽任何办法不去学校，到了学校更慌张，只想离开。自己也有焦虑症，无论什么时候脑子里都有无数的幻想。家人已经因为我快崩溃了，我该怎么办？;你多大了
男,30岁,我喜欢一个女孩，想和她结婚，但她说对我没感觉也不拒绝我的帮助，一直拖着，直到一天我出国半年后她告诉我她交了男朋友了，我很生气，但仍然不忍心不去帮助她，我该怎么办？;你真正需要的是什么
女 我觉得自己可能存在一定程度的抑郁症，总是郁郁寡欢，当对一个人有不好的看法时，不管她做什么，我总是用一种消极的心态看待她，最后搞的自己想要辞职了，生活和事业感觉都一团糟;应该是存在抑郁的情绪
男 我与我女朋友吵架了，我情绪激动打了她，下手虽然不重，但是我弄疼了她。我很爱她，可是我觉得这就是我爱一个人的表现，我好烦躁，我是不是双重人格，哪位能帮我解答一下我的心理;你很爱她  你认为爱一个人的表现是什么呢
女,我有一次我看到前男友来加我我同意了过一会我发现没有，然后我事后去问他说没有加我。最近一次也是差不多同样的场景，就感觉这事情是有的可是同时我也在质疑我看到的是不是真的？;开始怀疑自己了？好友申请中有记录吗？
男,28岁,因到结婚年龄，个人什么条件都没有。本来有点物质基础，结果钱全借给哥们了，然后他还不出，还闹得大家关系不好。现在觉得自己很失败，工作，生活，感情各方面都觉担忧焦虑。;将自己空杯归零，看看自己能干什么
女,27岁,五一快要结婚了，老公把彩礼钱也花光了，爸妈不去参加婚礼了，总觉得女儿亏了，自身工作压力太大，三处不如意让我失眠了几晚上，不想说话，太累感觉心里出问题了，该怎么办？;老师好
男 我是一名教师，我胸口很痛，脑袋全麻木了，到医院检查无任何器质性病变，害怕、担心走上讲台给学生教书，大脑里一片空白，觉得自己什么都不会，怎么办呢？我还很年轻，日子难熬。;这样现象有多久了 不是身体疾病，就是压力紧张造成的恐惧症状，还是选择一对一咨询吧
女,自己和孩子在家总是害怕，尤其到晚上，都是锁房门开着灯睡也是怕，不敢闭眼，实在困的受不了就会睡个一个多小时就醒了，这样导致每天很疲劳，精神不好，希望专家帮忙解决，怎么破;从什么时候开始的？
男 我们夫妻感情出现问题了，我说她有外遇了，外面的人都是说，我以后永远也不再说了，她经常和那个男的保持电话联系，现在她要和我分居，怎么办，我以后什么都会虽她，只要不分居，;那也于事无补
女 总是喜欢与别人比较，总是希望身边的人比我弱，我寝室有个姑娘有个男朋友，每次她和男朋友出去玩，而我男朋友不陪我的时候，总是心里特别堵，我知道这种心理不好   可是该怎样克服;你上大学？
男 因为在言语上伤害了一位比较好的异性朋友，已经好几天不理我了，发信息也不会，各种道歉方式都试过了，还是得不到原谅，她还说永远不会原谅我的，我该怎么做才能得到她的原谅啊，;你怎么伤害他了
女,同学骂我，我现在每天心里都在想这件事，并且还会猜想她怎么给别人骂我，已经影响到我的学习，并且不太与人交流，长期积累的委屈全部爆发，感觉自己的存在就是个错误，我该怎么办;你多大？同学为什么骂你呢？
女 我们刚刚离婚，我不知道怎么走出离婚的阴影？;你是被动离婚的吗
女,看见婆婆就烦躁，连孩子都不想让她碰怎么办？;你想怎么办
男 我和老婆吵架，老婆要给我离婚，我该怎么挽留;专业情感挽回
女 我不想失去他，要怎么办？有人可以帮帮我吗;你们之间发生了什么呢
女 怎么走进丈夫的内心世界，我想挽救我的婚姻;很愿意帮助你
女 我得了焦虑症身体出现各种不舒服，吃什么药?;你多大
男 老婆现在找我闹离婚，请问怎么样才能挽回？;什么原因闹离婚？
女 一个男孩想拼命的拿你第一次 真的是爱你吗？;美女
男 我最近一直想逃学，逃完学业一直特别害怕。;你多大？
女,老公出轨心里难受止不住的去想他们之间的事;结婚多长时间？
女 我和别人说话老是不自然眼睛迟钝这是怎么了;紧张？
男 如何面对爱情。我不知道该怎么面对感情问题;我也不知道
女 现在在找工作，很迷茫不知道自己想做什么。;你的专业是什么？你喜欢干什么工作？
女,容易想多，自己给自己无形的压力，常常失眠;多大了？
男 在和老婆的感情上出现了问题心里难受堵的慌;可以具体咨询下
女 你好老公总给我危机感是我怀疑还是嫉妒呢？;是怎样的危机感呢？
女,    感觉自己越来越丑，没自信了，该怎么办，;你多大年龄？
女 我的婚姻出了问题，想离婚，但是孩子太大了;孩子多大 婚姻出了什么问题要离婚
女,总觉得对什么都不感兴趣，没自信，很自卑....;你多大年龄？
女,怎样可以试探一个男孩是否真的喜欢你呢？？;试探的方法不主张，建议积极的沟通用心去感受
女 分手了走不出来走不出来一直想挽回要疯了。;分手多久了  谁先提出分手的
男 人格分裂倾向，情感畸形，喜欢中年成熟女性;这个是从什么时候开始的？你多大了？
女,为什么生活中总有好多过不去的坎？累到无力;美女，您多大了？
女 因为怀孕结婚  结婚以后 发现孩子不是老公的;双方父母不知情 老公也不知情。 现在孩子八个月  不知以后怎么办
女 有时想把孩子扔下楼，是不是我的心理有问题;你当时是什么想法呢？
女,我得了闭锁心里，应该怎么办？请大家帮帮我;具体是什么情况呢？
女 如果，很多人说你不好，你是不是真的不好？;不一定
男 被家人欺负了受委屈了，该怎么做，好纠结，;家人怎么欺负你了？
女,为什么我的情绪波动特别大？莫名其妙的发火;美女
女 大学毕业，都不知道干嘛，好迷茫，工作难找;美女
女 高考没考上，高复也快没希望了，我该怎么办;路有多条！
女 女 18 有男朋友 性冷淡 认为性爱羞耻 如何是好;恩。 可能在你的早年，你 的父母性生活也不是很好。
男 我觉得我现在什么都没有就觉得特别烦特别烦;多大了呢？
女 抑郁症想从这个世界消失，好痛苦每天，好烦;需要心理咨询了
男 你好我在外面就干活怎么在家里就不想干活啊;"男
你好我在外面就干活怎么在家里就不想干活啊"
男 临近毕业自己却不知道将来做甚么么哒很迷茫;对未来有迷茫是正常的，毕竟人生是从毕业起步的，工作也不可能一步到位
女 一紧张就会脸红出汗，抖，说不出话，怎么办;你多大
女,对于社交恐惧症面部表情尴尬怎么自我调整？;相由心生，我们需要调整内心调整内心的恐惧，让我们慢慢变得自信起来，就可以改善了
男,见人就紧张，不能沟通，不停咽唾沫，累......;到底我是什么症状呢？
女 除了在自己家睡觉以外，在那里睡觉都的惊醒;可能你在适应环境方面存在一些困难，自我保护意识过强，容易紧张恐惧。
女 我现在真是生不如死，人世间的折磨莫过于此;遇到了什么事情？
女,你好！为什么我对性没反应？可以帮帮忙吗？;私聊吧
女,老公出轨三次可以原谅吗？我不知道怎么选者;需要看具体情况
男 感觉不到别人的爱，包括爱情和亲情，怎么破;你对别人有真爱吗？
男 酒后无德，喝酒以后仇恨都来了而且头脑发热;大家都说心中有恨
男 男女都不喜欢了怎么办男女都不喜欢了怎么办;好好修养自己 爱自己。
女,年幼时期经历家暴  长期压抑 是否导致抑郁症;微笑]
男 最近老是睡不好，有四十多天，我是上夜班的;什么影响了你的睡眠呢
男 我老婆天天接到一个他认识的电话这正常吗？;谁呢？
男 感觉对任何事好像都没有啥兴趣，提不起精神;你多大了
